V1	V2
SOAP.k35.C3495106	unknown
SOAP.k35.C3496770	unknown
SOAP.k35.C3500794	unknown
SOAP.k35.C3501400	unknown
SOAP.k35.C3508550	unknown
SOAP.k35.C3515828	unknown
SOAP.k35.C3518184	unknown
SOAP.k35.C3522276	unknown
SOAP.k35.C3524590	unknown
SOAP.k35.C3531507	unknown
SOAP.k35.C3536543	unknown
SOAP.k35.C3536749	unknown
SOAP.k35.C3543027	unknown
SOAP.k35.C3552665	unknown
SOAP.k35.C3556705	unknown
SOAP.k35.C3585734	unknown
SOAP.k35.C3619900	unknown
SOAP.k35.C3635844	unknown
SOAP.k35.C3648824	unknown
SOAP.k35.C3672331	unknown
SOAP.k35.C3679993	unknown
SOAP.k35.C3681631	unknown
SOAP.k35.C3692647	unknown
SOAP.k35.C3695109	unknown
SOAP.k35.C3697579	unknown
SOAP.k35.C3706051	unknown
SOAP.k35.C3713747	unknown
SOAP.k35.C3730311	unknown
SOAP.k35.C3786337	unknown
SOAP.k35.C3801404	unknown
SOAP.k35.C3809437	unknown
SOAP.k35.C3833640	unknown
SOAP.k35.C3839770	unknown
SOAP.k35.C3839880	unknown
SOAP.k35.C3848384	unknown
SOAP.k35.C3852522	unknown
SOAP.k35.C3857766	unknown
SOAP.k35.C3872164	unknown
SOAP.k35.C3875062	unknown
SOAP.k35.C3886450	unknown
SOAP.k35.C3897383	unknown
SOAP.k35.C3898021	unknown
SOAP.k35.C3926875	unknown
SOAP.k35.C3930031	unknown
SOAP.k35.C3937531	unknown
SOAP.k35.C3938884	unknown
SOAP.k35.C3950934	unknown
SOAP.k35.C3959262	unknown
SOAP.k35.C3972074	unknown
SOAP.k35.C3978009	unknown
SOAP.k35.C3978017	unknown
SOAP.k35.C3978025	unknown
SOAP.k35.C3981885	unknown
SOAP.k35.C3997517	unknown
SOAP.k35.C4007075	unknown
SOAP.k35.C4012597	unknown
SOAP.k35.C4017112	unknown
SOAP.k35.C4026719	unknown
SOAP.k35.C4027609	unknown
SOAP.k35.C4032909	unknown
SOAP.k35.C4033073	unknown
SOAP.k35.C4034937	unknown
SOAP.k35.C4040747	unknown
SOAP.k35.C4046613	unknown
SOAP.k35.C4048108	unknown
SOAP.k35.C4048634	GO:0000287;GO:0004019;GO:0005525;GO:0005737;GO:0044208;GO:0046040
SOAP.k35.C4054494	unknown
SOAP.k35.C4058576	unknown
SOAP.k35.C4060198	unknown
SOAP.k35.C4072844	unknown
SOAP.k35.C4074240	unknown
SOAP.k35.C4075400	unknown
SOAP.k35.C4076452	unknown
SOAP.k35.C4077508	unknown
SOAP.k35.C4081900	unknown
SOAP.k35.C4088596	unknown
SOAP.k35.C4090306	unknown
SOAP.k35.C4090984	unknown
SOAP.k35.C4098556	GO:0006506;GO:0017176
SOAP.k35.C4099388	unknown
SOAP.k35.C4101864	unknown
SOAP.k35.C4103858	unknown
SOAP.k35.C4105584	unknown
SOAP.k35.C4112709	unknown
SOAP.k35.C4122257	unknown
SOAP.k35.C4122937	GO:0005739;GO:0008137
SOAP.k35.C4125551	GO:0003700
SOAP.k35.C4127501	unknown
SOAP.k35.C4128939	unknown
SOAP.k35.C4129201	GO:0008380
SOAP.k35.C4129621	unknown
SOAP.k35.C4134493	unknown
SOAP.k35.C4135509	unknown
SOAP.k35.C4136433	GO:0034551
SOAP.k35.C4136663	unknown
SOAP.k35.C4137723	unknown
SOAP.k35.C4138027	unknown
SOAP.k35.C4140027	unknown
SOAP.k35.C4140705	unknown
SOAP.k35.C4140961	unknown
SOAP.k35.C4141475	unknown
SOAP.k35.C4144739	unknown
SOAP.k35.C4149007	unknown
SOAP.k35.C4149853	unknown
SOAP.k35.C4150107	GO:0003676;GO:0005634;GO:0006364
SOAP.k35.C4151309	unknown
SOAP.k35.C4154657	unknown
SOAP.k35.C4157511	unknown
SOAP.k35.C4160607	unknown
SOAP.k35.C4162339	unknown
SOAP.k35.C4164823	GO:0004519;GO:0033151;GO:0043565;GO:0061630
SOAP.k35.C4167025	unknown
SOAP.k35.C4169147	unknown
SOAP.k35.C4171659	unknown
SOAP.k35.C4174953	GO:0000176;GO:0000460
SOAP.k35.C4176069	unknown
SOAP.k35.C4179459	unknown
SOAP.k35.C4181297	unknown
SOAP.k35.C4183597	unknown
SOAP.k35.C4184665	unknown
SOAP.k35.C4186657	GO:0005576;GO:0030414
SOAP.k35.C4188053	unknown
SOAP.k35.C4189069	GO:0006508;GO:0008234
SOAP.k35.C4189379	unknown
SOAP.k35.C4191195	unknown
SOAP.k35.C4196649	unknown
SOAP.k35.C4197083	unknown
SOAP.k35.C4197393	unknown
SOAP.k35.C4198293	GO:0016020
SOAP.k35.C4201387	unknown
SOAP.k35.C4209861	GO:0005929;GO:0035082;GO:0044422;GO:0044458;GO:0060294
SOAP.k35.C4211693	unknown
SOAP.k35.C4211903	GO:0000175;GO:0003676
SOAP.k35.C4213087	unknown
SOAP.k35.C4214389	unknown
SOAP.k35.C4216073	unknown
SOAP.k35.C4216119	unknown
SOAP.k35.C4219371	GO:0004843;GO:0005622;GO:0006511
SOAP.k35.C4219869	GO:0003824;GO:0005509
SOAP.k35.C4220413	GO:0005856;GO:0006915;GO:0008017
SOAP.k35.C4223461	unknown
SOAP.k35.C4224137	unknown
SOAP.k35.C4224715	unknown
SOAP.k35.C4224721	unknown
SOAP.k35.C4226433	unknown
SOAP.k35.C4228731	GO:0005634;GO:0006281;GO:0030915;GO:2001022
SOAP.k35.C4229749	GO:0004842;GO:0016567;GO:0036297;GO:0043240
SOAP.k35.C4230385	unknown
SOAP.k35.C4230657	GO:0004662;GO:0005953;GO:0018344
SOAP.k35.C4233153	GO:0005886;GO:0016021;GO:0038023
SOAP.k35.C4234271	GO:0003743;GO:0005672;GO:0006367;GO:0006413
SOAP.k35.C4234653	GO:0009055;GO:0022900;GO:0050660
SOAP.k35.C4237197	unknown
SOAP.k35.C4237439	GO:0005829;GO:0016226;GO:0051536
SOAP.k35.C4237615	unknown
SOAP.k35.C4237967	GO:0008146;GO:0016020
SOAP.k35.C4238965	unknown
SOAP.k35.C4239111	GO:0003677
SOAP.k35.C4239749	unknown
SOAP.k35.C4240023	unknown
SOAP.k35.C4240033	unknown
SOAP.k35.C4240235	unknown
SOAP.k35.C4240421	unknown
SOAP.k35.C4240465	unknown
SOAP.k35.C4241199	unknown
SOAP.k35.C4241595	unknown
SOAP.k35.C4241697	GO:0003700;GO:0005634;GO:0006355;GO:0043565
SOAP.k35.C4241737	GO:0003824
SOAP.k35.C4242437	unknown
SOAP.k35.C4242585	GO:0005829;GO:0016618;GO:0030267;GO:0042803;GO:0051287;GO:0055114
SOAP.k35.C4242675	GO:0007154;GO:0023052
SOAP.k35.C4243301	unknown
SOAP.k35.C4243771	GO:0006325;GO:0031981;GO:1902494
SOAP.k35.C4243917	GO:0005887;GO:0008028;GO:0015718;GO:0055085
SOAP.k35.C4244193	unknown
SOAP.k35.C4244251	GO:0005515;GO:0005768;GO:0010605;GO:0015031;GO:0016020;GO:0030154;GO:0031324;GO:0042059;GO:0044087;GO:0044446;GO:0045859;GO:0048522;GO:0051050;GO:0051128;GO:0051172;GO:0060627;GO:1903772;GO:1903902
SOAP.k35.C4244361	GO:0005829;GO:1902531;GO:1903577
SOAP.k35.C4244467	GO:0005887;GO:0008028;GO:0015718;GO:0055085
SOAP.k35.C4244735	GO:0016021
SOAP.k35.C4244847	unknown
SOAP.k35.C4245607	GO:0000166;GO:0008652;GO:0050794;GO:1901605
SOAP.k35.C4246053	unknown
SOAP.k35.C4246495	GO:0001786;GO:0005509;GO:0005544;GO:0005886;GO:0014059;GO:0019905;GO:0030276;GO:0045202;GO:0048488;GO:0048791;GO:0070382;GO:0071277
SOAP.k35.C4246507	unknown
SOAP.k35.C4246717	GO:0005887;GO:0008028;GO:0015718
SOAP.k35.C4246779	unknown
SOAP.k35.C4246921	unknown
SOAP.k35.C4247013	GO:0005488;GO:0016192;GO:0032940;GO:0065007;GO:0097458
SOAP.k35.C4247057	GO:0016020
SOAP.k35.C4247121	unknown
SOAP.k35.C4247343	GO:0004930;GO:0007165;GO:0009583;GO:0016021
SOAP.k35.C4247801	GO:0004356;GO:0006542;GO:0016020;GO:0019740
SOAP.k35.C4248157	unknown
SOAP.k35.C4248209	GO:0000278;GO:0000790;GO:0004843;GO:0005654;GO:0006281;GO:0016578;GO:0031647;GO:0036464;GO:0042393;GO:0090543
SOAP.k35.C4248269	GO:0008238;GO:0016020
SOAP.k35.C4248533	unknown
SOAP.k35.C4248563	unknown
SOAP.k35.C4248589	unknown
SOAP.k35.C4248745	GO:0050896
SOAP.k35.C4248753	unknown
SOAP.k35.C4249037	unknown
SOAP.k35.C4249077	GO:0005525;GO:0005730;GO:0042254
SOAP.k35.C4249469	GO:0005515;GO:0005576;GO:0030414
SOAP.k35.C4249983	GO:0003341;GO:0060271
SOAP.k35.C4250025	GO:0016021;GO:0055085
SOAP.k35.C4250145	GO:0006486;GO:0008373
SOAP.k35.C4250175	GO:0003676;GO:0005524
SOAP.k35.C4250251	GO:0004583;GO:0005789;GO:0006488
SOAP.k35.C4250263	GO:0003676
SOAP.k35.C4250391	unknown
SOAP.k35.C4250427	GO:0005737;GO:0008270;GO:0009086;GO:0032259;GO:0047150
SOAP.k35.C4250605	GO:0016021;GO:0022857;GO:0055085
SOAP.k35.C4250723	GO:0006355
SOAP.k35.C4250841	GO:0005515
SOAP.k35.C4250867	GO:0045184
SOAP.k35.C4250913	GO:0003676;GO:0004674;GO:0005524;GO:0006468
SOAP.k35.C4251159	GO:0007155;GO:0045296;GO:0051015
SOAP.k35.C4251643	GO:0004930;GO:0005044;GO:0007166;GO:0007186;GO:0016021
SOAP.k35.C4251765	GO:0005262;GO:0016020;GO:0070588
SOAP.k35.C4252557	GO:0004672;GO:0005515;GO:0005524;GO:0006468
SOAP.k35.C4252583	GO:0004930;GO:0007186;GO:0016021
SOAP.k35.C4252617	GO:0001889;GO:0003677;GO:0005634;GO:0006357;GO:0030073;GO:0031016;GO:0045893
SOAP.k35.C4252743	GO:0005515
SOAP.k35.C4252753	unknown
SOAP.k35.C4252783	GO:0043167
SOAP.k35.C4252927	GO:0003676
SOAP.k35.C4253277	GO:0004383;GO:0006182;GO:0020037;GO:0035556
SOAP.k35.C4253399	GO:0005515
SOAP.k35.C4253417	GO:0016021
SOAP.k35.C4253531	unknown
SOAP.k35.C4253553	GO:0003700;GO:0003707;GO:0005634;GO:0006355;GO:0008270;GO:0043565
SOAP.k35.C4253645	GO:0004674;GO:0005524;GO:0006468
SOAP.k35.C4253669	GO:0035556
SOAP.k35.C4253693	GO:0016021
SOAP.k35.C4253895	GO:0007224;GO:0016021;GO:0022857;GO:0055085
SOAP.k35.C4253957	GO:0004672;GO:0005524;GO:0006468;GO:0035556
SOAP.k35.C4254091	GO:0003677;GO:0005515;GO:0005634;GO:0008270;GO:0018024;GO:0034968
SOAP.k35.C4254151	GO:0005515;GO:0010468;GO:0046872;GO:0071557;GO:0071558
SOAP.k35.C4254179	GO:0006260
SOAP.k35.C4254483	GO:0004435;GO:0005085;GO:0006629;GO:0007264
SOAP.k35.scaffold100021	GO:0016787
SOAP.k35.scaffold100280	GO:0004819;GO:0005524;GO:0005737;GO:0006425
SOAP.k35.scaffold100314	GO:0016021
SOAP.k35.scaffold100325	GO:0005887;GO:0032217;GO:0032218
SOAP.k35.scaffold100679	GO:0003677;GO:0006310;GO:0015074
SOAP.k35.scaffold10072	GO:0004402;GO:0005634;GO:0006348;GO:0016573;GO:0042393
SOAP.k35.scaffold10085	unknown
SOAP.k35.scaffold100938	unknown
SOAP.k35.scaffold100957	GO:0044424
SOAP.k35.scaffold100992	GO:0005044;GO:0016020
SOAP.k35.scaffold101173	GO:0006396
SOAP.k35.scaffold10141	GO:0016021;GO:0016485;GO:0043085
SOAP.k35.scaffold101438	unknown
SOAP.k35.scaffold10206	unknown
SOAP.k35.scaffold102399	unknown
SOAP.k35.scaffold102540	unknown
SOAP.k35.scaffold10283	unknown
SOAP.k35.scaffold102967	GO:0005515;GO:0007165;GO:0042981
SOAP.k35.scaffold102987	GO:0031151;GO:0034729;GO:0051726
SOAP.k35.scaffold103021	unknown
SOAP.k35.scaffold103036	unknown
SOAP.k35.scaffold103039	GO:0006629;GO:0016788
SOAP.k35.scaffold103083	unknown
SOAP.k35.scaffold103224	GO:0016491;GO:0055114
SOAP.k35.scaffold103404	GO:0005515
SOAP.k35.scaffold103624	unknown
SOAP.k35.scaffold103714	unknown
SOAP.k35.scaffold103908	unknown
SOAP.k35.scaffold10402	GO:0051998
SOAP.k35.scaffold10405	GO:0005515
SOAP.k35.scaffold104133	unknown
SOAP.k35.scaffold104378	GO:0005515
SOAP.k35.scaffold104392	GO:0016021
SOAP.k35.scaffold104526	unknown
SOAP.k35.scaffold1046	unknown
SOAP.k35.scaffold104632	GO:0003677;GO:0016021
SOAP.k35.scaffold104901	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SOAP.k35.scaffold105166	GO:0005515
SOAP.k35.scaffold105189	GO:0004842;GO:0005680
SOAP.k35.scaffold10521	unknown
SOAP.k35.scaffold105339	unknown
SOAP.k35.scaffold105495	GO:0004017;GO:0005524;GO:0005739;GO:0006139
SOAP.k35.scaffold105924	GO:0042721
SOAP.k35.scaffold105966	unknown
SOAP.k35.scaffold106129	unknown
SOAP.k35.scaffold106157	unknown
SOAP.k35.scaffold106508	unknown
SOAP.k35.scaffold106646	GO:0005272;GO:0006814;GO:0016020
SOAP.k35.scaffold106681	GO:0005515
SOAP.k35.scaffold106715	unknown
SOAP.k35.scaffold1070	GO:0016491;GO:0055114
SOAP.k35.scaffold107231	unknown
SOAP.k35.scaffold107283	GO:0008318;GO:0018342
SOAP.k35.scaffold107309	GO:0004438
SOAP.k35.scaffold107421	unknown
SOAP.k35.scaffold107672	GO:0005515
SOAP.k35.scaffold107876	GO:0006486;GO:0008417;GO:0016020
SOAP.k35.scaffold108088	unknown
SOAP.k35.scaffold10840	unknown
SOAP.k35.scaffold108686	unknown
SOAP.k35.scaffold108747	unknown
SOAP.k35.scaffold109049	GO:0003676
SOAP.k35.scaffold109143	GO:0008033;GO:0017150;GO:0050660;GO:0055114
SOAP.k35.scaffold109758	GO:0004198;GO:0005622;GO:0006508
SOAP.k35.scaffold110219	GO:0005515
SOAP.k35.scaffold110265	GO:0004553;GO:0005975
SOAP.k35.scaffold110583	GO:0006259;GO:0016787
SOAP.k35.scaffold110826	GO:0004930;GO:0005044;GO:0006955;GO:0007166;GO:0007186;GO:0016021;GO:0030247
SOAP.k35.scaffold110845	GO:0005216;GO:0005515;GO:0016021;GO:0034220
SOAP.k35.scaffold110917	unknown
SOAP.k35.scaffold110954	GO:0000155;GO:0000160;GO:0005249;GO:0006813;GO:0016020;GO:0055085
SOAP.k35.scaffold111003	GO:0016881;GO:0016925;GO:0019948
SOAP.k35.scaffold11107	GO:0005737;GO:0016812;GO:0019556
SOAP.k35.scaffold111297	GO:0016021
SOAP.k35.scaffold111562	GO:0005515
SOAP.k35.scaffold111663	GO:0004089;GO:0008270
SOAP.k35.scaffold111669	GO:0015986;GO:0045261;GO:0046933
SOAP.k35.scaffold112012	GO:0003700;GO:0006355;GO:0043565
SOAP.k35.scaffold112350	unknown
SOAP.k35.scaffold112353	GO:0003824;GO:0005975
SOAP.k35.scaffold112427	GO:0016021
SOAP.k35.scaffold112548	unknown
SOAP.k35.scaffold112720	GO:0016020;GO:0022857;GO:0055085
SOAP.k35.scaffold11319	GO:0005524;GO:0031011;GO:0035267;GO:0043141;GO:0097255
SOAP.k35.scaffold113217	GO:0006470;GO:0017017
SOAP.k35.scaffold113420	unknown
SOAP.k35.scaffold113949	GO:0003676;GO:0008270
SOAP.k35.scaffold113972	unknown
SOAP.k35.scaffold114013	GO:0000151;GO:0006511;GO:0016567;GO:0034450
SOAP.k35.scaffold114108	unknown
SOAP.k35.scaffold114118	GO:0003723;GO:0003735;GO:0006412;GO:0015935
SOAP.k35.scaffold114210	unknown
SOAP.k35.scaffold114271	GO:0000413;GO:0003755
SOAP.k35.scaffold114488	GO:0003677
SOAP.k35.scaffold114490	unknown
SOAP.k35.scaffold11466	GO:0005515
SOAP.k35.scaffold114980	unknown
SOAP.k35.scaffold115113	unknown
SOAP.k35.scaffold115135	GO:0005758
SOAP.k35.scaffold115169	unknown
SOAP.k35.scaffold115184	GO:0005509;GO:0005515
SOAP.k35.scaffold11531	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114
SOAP.k35.scaffold115332	GO:0043248
SOAP.k35.scaffold115626	GO:0004930;GO:0005044;GO:0006955;GO:0007166;GO:0007186;GO:0016021;GO:0030247
SOAP.k35.scaffold115667	GO:0006486;GO:0008417;GO:0016020
SOAP.k35.scaffold11567	unknown
SOAP.k35.scaffold115807	unknown
SOAP.k35.scaffold115851	unknown
SOAP.k35.scaffold116063	unknown
SOAP.k35.scaffold116178	unknown
SOAP.k35.scaffold116235	GO:0003676;GO:0015074
SOAP.k35.scaffold116437	GO:0015267;GO:0016020;GO:0055085
SOAP.k35.scaffold116510	GO:0005515;GO:0007165;GO:0009058
SOAP.k35.scaffold11656	unknown
SOAP.k35.scaffold116599	unknown
SOAP.k35.scaffold117017	unknown
SOAP.k35.scaffold117022	unknown
SOAP.k35.scaffold117213	GO:0005044;GO:0016020
SOAP.k35.scaffold117270	unknown
SOAP.k35.scaffold117428	unknown
SOAP.k35.scaffold117531	unknown
SOAP.k35.scaffold117716	GO:0005515;GO:0007165
SOAP.k35.scaffold117860	unknown
SOAP.k35.scaffold118330	unknown
SOAP.k35.scaffold118522	unknown
SOAP.k35.scaffold118542	GO:0016758
SOAP.k35.scaffold118591	GO:0005544;GO:0006887;GO:0016020
SOAP.k35.scaffold118679	unknown
SOAP.k35.scaffold118713	GO:0001614;GO:0004931;GO:0005887;GO:0033198;GO:0098655
SOAP.k35.scaffold118845	GO:0003676
SOAP.k35.scaffold118876	GO:0004672;GO:0005515;GO:0005524;GO:0006468
SOAP.k35.scaffold118910	GO:0004450;GO:0006102;GO:0055114
SOAP.k35.scaffold118950	unknown
SOAP.k35.scaffold119032	GO:0004553;GO:0005975
SOAP.k35.scaffold119075	unknown
SOAP.k35.scaffold119127	unknown
SOAP.k35.scaffold119314	GO:0016787
SOAP.k35.scaffold119389	unknown
SOAP.k35.scaffold119454	unknown
SOAP.k35.scaffold119509	GO:0004672;GO:0005524;GO:0006468;GO:0035556
SOAP.k35.scaffold120110	GO:0008146
SOAP.k35.scaffold120258	GO:0003735;GO:0005739
SOAP.k35.scaffold120355	unknown
SOAP.k35.scaffold120407	unknown
SOAP.k35.scaffold120506	unknown
SOAP.k35.scaffold120869	GO:0016747
SOAP.k35.scaffold120895	unknown
SOAP.k35.scaffold120919	unknown
SOAP.k35.scaffold12099	GO:0000030
SOAP.k35.scaffold121182	unknown
SOAP.k35.scaffold121319	GO:0045892
SOAP.k35.scaffold121546	GO:0004930;GO:0007186;GO:0016021
SOAP.k35.scaffold121630	GO:0004888;GO:0016021;GO:0022848;GO:0034220;GO:0045211
SOAP.k35.scaffold121732	GO:0004930;GO:0007166;GO:0007186;GO:0016021
SOAP.k35.scaffold121786	GO:0005044;GO:0016020
SOAP.k35.scaffold121986	unknown
SOAP.k35.scaffold121987	GO:0000287;GO:0019509;GO:0043874
SOAP.k35.scaffold122175	GO:0048188;GO:0051568
SOAP.k35.scaffold122197	GO:0004993;GO:0005887;GO:0007186
SOAP.k35.scaffold122313	GO:0004526;GO:0008033
SOAP.k35.scaffold122506	GO:0005515
SOAP.k35.scaffold122550	unknown
SOAP.k35.scaffold122968	GO:0004617;GO:0006564;GO:0051287;GO:0055114
SOAP.k35.scaffold122989	GO:0004383;GO:0006182;GO:0035556
SOAP.k35.scaffold123094	GO:0008083
SOAP.k35.scaffold123143	GO:0006611;GO:0008536;GO:0008565
SOAP.k35.scaffold123248	GO:0003677;GO:0006310;GO:0015074
SOAP.k35.scaffold123339	GO:0003676
SOAP.k35.scaffold123347	GO:0003677
SOAP.k35.scaffold123383	unknown
SOAP.k35.scaffold123462	unknown
SOAP.k35.scaffold123540	GO:0016020
SOAP.k35.scaffold123554	GO:0004672;GO:0005524;GO:0006468
SOAP.k35.scaffold123610	GO:0016787
SOAP.k35.scaffold123701	GO:0004930;GO:0007186;GO:0016021
SOAP.k35.scaffold123758	GO:0004843;GO:0005634;GO:0005737;GO:0007010;GO:0016477;GO:0030177;GO:0035523;GO:0046872;GO:0070530;GO:0071947;GO:1990168
SOAP.k35.scaffold123962	GO:0004252;GO:0006508
SOAP.k35.scaffold124011	unknown
SOAP.k35.scaffold124067	unknown
SOAP.k35.scaffold124149	unknown
SOAP.k35.scaffold124330	unknown
SOAP.k35.scaffold124342	unknown
SOAP.k35.scaffold124371	unknown
SOAP.k35.scaffold1244	unknown
SOAP.k35.scaffold124434	unknown
SOAP.k35.scaffold124440	GO:0004776;GO:0005524;GO:0006099;GO:0006104
SOAP.k35.scaffold12452	GO:0000398;GO:0046540
SOAP.k35.scaffold124525	GO:0005515
SOAP.k35.scaffold124551	GO:0003723
SOAP.k35.scaffold124682	GO:0004659;GO:0016021
SOAP.k35.scaffold124734	unknown
SOAP.k35.scaffold124766	unknown
SOAP.k35.scaffold124779	GO:0005515
SOAP.k35.scaffold124802	GO:0005515
SOAP.k35.scaffold124856	GO:0016021
SOAP.k35.scaffold124958	GO:0003676
SOAP.k35.scaffold124985	unknown
SOAP.k35.scaffold12527	GO:0005515;GO:0008191
SOAP.k35.scaffold125271	GO:0006024;GO:0008375;GO:0016020;GO:0030158
SOAP.k35.scaffold125301	GO:0016020
SOAP.k35.scaffold125384	unknown
SOAP.k35.scaffold125479	GO:0000902;GO:0007023;GO:0015631
SOAP.k35.scaffold125513	GO:0003700;GO:0005634;GO:0006357;GO:0012505;GO:0030968;GO:0035497
SOAP.k35.scaffold125552	GO:0005096
SOAP.k35.scaffold125569	unknown
SOAP.k35.scaffold125982	GO:0016021
SOAP.k35.scaffold126284	unknown
SOAP.k35.scaffold126296	unknown
SOAP.k35.scaffold126369	unknown
SOAP.k35.scaffold126436	GO:0004930;GO:0007186;GO:0016021
SOAP.k35.scaffold126571	GO:0016787
SOAP.k35.scaffold126593	unknown
SOAP.k35.scaffold1267	GO:0005509
SOAP.k35.scaffold126818	GO:0016021;GO:0055085
SOAP.k35.scaffold127264	GO:0004348;GO:0006665
SOAP.k35.scaffold127306	GO:0016021;GO:0022857;GO:0055085
SOAP.k35.scaffold127412	unknown
SOAP.k35.scaffold127475	GO:0004672;GO:0005515;GO:0005524;GO:0006468
SOAP.k35.scaffold127512	GO:0008270
SOAP.k35.scaffold127532	GO:0008146
SOAP.k35.scaffold127547	GO:0005515
SOAP.k35.scaffold127594	GO:0003676
SOAP.k35.scaffold12774	unknown
SOAP.k35.scaffold127827	GO:0005328;GO:0006836;GO:0016021
SOAP.k35.scaffold127854	GO:0006616;GO:0016021
SOAP.k35.scaffold127905	GO:0005272;GO:0006814;GO:0016020
SOAP.k35.scaffold127978	GO:0005515;GO:0035091
SOAP.k35.scaffold128660	unknown
SOAP.k35.scaffold128710	unknown
SOAP.k35.scaffold128774	GO:0006595;GO:0008080;GO:0097164
SOAP.k35.scaffold128922	GO:0004601;GO:0006979;GO:0020037;GO:0055114
SOAP.k35.scaffold128997	unknown
SOAP.k35.scaffold129078	unknown
SOAP.k35.scaffold129118	unknown
SOAP.k35.scaffold129182	unknown
SOAP.k35.scaffold129261	unknown
SOAP.k35.scaffold129612	unknown
SOAP.k35.scaffold129641	GO:0016740
SOAP.k35.scaffold129907	GO:0005634;GO:0006355;GO:0008270
SOAP.k35.scaffold129939	unknown
SOAP.k35.scaffold130050	GO:0005515;GO:0007165
SOAP.k35.scaffold130163	GO:0004518;GO:0006281
SOAP.k35.scaffold130376	GO:0000786;GO:0003677;GO:0005634;GO:0006334
SOAP.k35.scaffold130414	unknown
SOAP.k35.scaffold130420	GO:0003735;GO:0005840;GO:0006412
SOAP.k35.scaffold130514	GO:0005515
SOAP.k35.scaffold130630	GO:0046872
SOAP.k35.scaffold130666	GO:0005634
SOAP.k35.scaffold130688	GO:0005509
SOAP.k35.scaffold130723	unknown
SOAP.k35.scaffold130724	unknown
SOAP.k35.scaffold130823	unknown
SOAP.k35.scaffold130892	unknown
SOAP.k35.scaffold130943	unknown
SOAP.k35.scaffold130952	GO:0003676;GO:0015074
SOAP.k35.scaffold131036	GO:0005975;GO:0016757
SOAP.k35.scaffold131171	GO:0005515
SOAP.k35.scaffold131197	unknown
SOAP.k35.scaffold131239	unknown
SOAP.k35.scaffold131319	GO:0003735;GO:0016787
SOAP.k35.scaffold131439	unknown
SOAP.k35.scaffold131482	GO:0005515
SOAP.k35.scaffold131497	GO:0003824
SOAP.k35.scaffold131534	unknown
SOAP.k35.scaffold131579	unknown
SOAP.k35.scaffold131627	GO:0003700;GO:0006355;GO:0043565
SOAP.k35.scaffold131639	GO:0005272;GO:0006814;GO:0016020
SOAP.k35.scaffold131762	unknown
SOAP.k35.scaffold131772	GO:0016740
SOAP.k35.scaffold131812	GO:0004713;GO:0005515;GO:0005524;GO:0006468
SOAP.k35.scaffold131815	GO:0004842;GO:0005515;GO:0016567
SOAP.k35.scaffold131854	GO:0008080;GO:0032917;GO:0097164
SOAP.k35.scaffold131862	GO:0004930;GO:0007186;GO:0016021
SOAP.k35.scaffold131887	GO:0004930;GO:0007186;GO:0016021
SOAP.k35.scaffold131901	GO:0005267;GO:0016021;GO:0071805
SOAP.k35.scaffold131941	unknown
